                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6696,                  2.213,                  1.302,                0.76351,                0.86328,                0.93923,                0.65049,                 1.2606,                 1.4598,                 1.0037,              0.0032624,              0.0032624,              0.0032624
                      2,                 1.0481,                0.62576,                0.95739,                0.89374,                0.91385,                 0.9693,                0.64503,                 1.2958,                0.80813,                 1.0002,              0.0065702,              0.0065702,              0.0065702
                      3,                 1.0726,                0.61357,                0.95448,                0.92133,                0.93947,                0.95761,                0.71858,                 1.0585,                0.91296,                0.95957,              0.0098523,              0.0098523,              0.0098523
                      4,                 1.0484,                0.59023,                 0.9528,                0.96019,                0.96136,                0.98571,                0.69385,                 1.2731,                0.65688,                 1.0047,               0.009884,               0.009884,               0.009884
                      5,                0.97705,                 0.5393,                0.93318,                0.91484,                0.91564,                0.97801,                 0.7341,                 1.0754,                0.60722,                0.94185,              0.0098453,              0.0098453,              0.0098453
                      6,                0.93389,                0.50849,                0.92635,                0.97129,                0.97775,                0.99103,                0.80262,                 0.8658,                0.49388,                0.89669,              0.0098066,              0.0098066,              0.0098066
                      7,                0.90519,                  0.488,                0.91835,                0.97708,                0.98086,                0.99101,                0.81553,                0.84652,                0.43253,                0.88546,               0.009768,               0.009768,               0.009768
                      8,                 0.8749,                0.46978,                0.91167,                0.96181,                0.96481,                0.98981,                0.79559,                0.90787,                 0.4684,                0.91342,              0.0097293,              0.0097293,              0.0097293
                      9,                0.85992,                0.45629,                0.90783,                  0.976,                0.98629,                0.98639,                0.80346,                0.87706,                0.40231,                0.88847,              0.0096906,              0.0096906,              0.0096906
                     10,                0.84072,                0.44514,                0.90203,                0.98983,                0.98872,                0.99368,                0.85137,                0.74673,                0.35416,                 0.8637,               0.009652,               0.009652,               0.009652
                     11,                0.82898,                0.42946,                0.89906,                0.98289,                  0.982,                0.99145,                 0.8239,                0.82276,                0.38987,                0.87968,              0.0096133,              0.0096133,              0.0096133
