                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6369,                 2.2092,                 1.2518,                0.91436,                 0.8921,                0.94283,                0.70687,                 1.0142,                0.70456,                0.94295,              0.0032624,              0.0032624,              0.0032624
                      2,                 1.0502,                0.63761,                0.94728,                0.93452,                0.92236,                0.96482,                0.70117,                 1.1341,                0.61906,                0.95857,              0.0065702,              0.0065702,              0.0065702
                      3,                 1.0697,                0.60891,                  0.947,                0.79539,                0.86231,                 0.8513,                0.61892,                 1.1084,                 1.6991,                0.96777,              0.0098523,              0.0098523,              0.0098523
                      4,                 1.0329,                 0.5884,                0.94532,                0.96784,                0.96175,                0.98703,                0.73478,                  1.081,                0.65048,                0.95021,               0.009884,               0.009884,               0.009884
                      5,                0.97061,                0.53742,                 0.9287,                0.97082,                0.96394,                0.98573,                0.79579,                0.89726,                0.51862,                0.90112,              0.0098453,              0.0098453,              0.0098453
                      6,                0.92597,                0.50899,                0.92018,                 0.9766,                0.97832,                0.99077,                0.81821,                0.83237,                0.51161,                0.88335,              0.0098066,              0.0098066,              0.0098066
                      7,                0.90203,                0.49182,                0.91419,                0.97991,                0.97867,                0.99253,                0.76849,                0.96566,                0.47317,                0.90975,               0.009768,               0.009768,               0.009768
                      8,                0.87001,                0.46634,                0.90729,                0.96594,                0.97994,                0.99039,                0.81591,                0.84983,                0.42007,                0.88027,              0.0097293,              0.0097293,              0.0097293
                      9,                0.85982,                0.45535,                0.90395,                0.93923,                0.96427,                0.98546,                0.80202,                0.88145,                0.50859,                0.89219,              0.0096906,              0.0096906,              0.0096906
                     10,                0.84165,                0.45443,                0.89937,                0.98272,                0.98356,                  0.993,                0.85511,                0.73131,                0.37509,                0.86304,               0.009652,               0.009652,               0.009652
                     11,                0.82724,                0.43928,                0.89585,                0.98864,                0.98251,                0.99301,                0.83501,                0.82677,                0.39112,                0.87956,              0.0096133,              0.0096133,              0.0096133
                     12,                0.81784,                0.43549,                0.89499,                0.99064,                0.98736,                0.99425,                0.84868,                0.72266,                0.35771,                 0.8633,              0.0095746,              0.0095746,              0.0095746
                     13,                0.80483,                0.42697,                 0.8912,                0.98066,                0.98205,                0.99141,                0.83461,                0.75472,                0.36536,                0.86282,              0.0095359,              0.0095359,              0.0095359
                     14,                0.79637,                0.42051,                0.89142,                0.99126,                0.98692,                0.99406,                0.85087,                0.73288,                0.34099,                0.85808,              0.0094973,              0.0094973,              0.0094973
                     15,                0.78969,                0.41439,                0.88696,                0.94716,                 0.9673,                0.98149,                0.83487,                0.75194,                0.43506,                0.86648,              0.0094586,              0.0094586,              0.0094586
                     16,                0.77943,                0.41101,                0.88568,                0.98791,                0.98411,                0.99212,                0.80951,                0.86255,                0.38786,                0.87966,              0.0094199,              0.0094199,              0.0094199
                     17,                0.77121,                0.40538,                0.88543,                0.98638,                0.98711,                 0.9938,                0.86608,                0.67433,                0.33632,                0.84736,              0.0093813,              0.0093813,              0.0093813
                     18,                 0.7641,                0.39845,                 0.8839,                0.98586,                0.98798,                0.99452,                0.84085,                0.78079,                0.34775,                0.86856,              0.0093426,              0.0093426,              0.0093426
                     19,                0.75598,                 0.3982,                0.88184,                0.98709,                0.99227,                0.99388,                0.83848,                0.77744,                0.34394,                0.86519,              0.0093039,              0.0093039,              0.0093039
                     20,                0.75912,                0.39665,                0.87906,                0.99433,                  0.993,                0.99414,                0.88091,                0.65606,                0.31669,                 0.8439,              0.0092652,              0.0092652,              0.0092652
                     21,                0.74722,                0.39018,                0.87994,                0.98541,                0.98226,                0.99035,                0.85124,                 0.7473,                 0.3636,                0.85974,              0.0092266,              0.0092266,              0.0092266
                     22,                0.74683,                0.38949,                0.88017,                0.98934,                0.98877,                0.99265,                0.86185,                0.69626,                0.32135,                0.85195,              0.0091879,              0.0091879,              0.0091879
                     23,                0.74304,                0.38785,                0.87806,                0.98499,                0.98921,                0.99308,                0.85446,                0.76439,                0.34678,                0.85928,              0.0091492,              0.0091492,              0.0091492
                     24,                0.72907,                0.37909,                0.87604,                0.98947,                0.99109,                0.99157,                0.85848,                0.69458,                0.32034,                0.84747,              0.0091105,              0.0091105,              0.0091105
                     25,                0.73568,                0.38246,                 0.8762,                0.99258,                0.99497,                 0.9945,                0.88822,                0.61469,                0.29128,                0.83759,              0.0090719,              0.0090719,              0.0090719
                     26,                0.72515,                0.37378,                 0.8749,                0.99021,                0.98677,                0.99376,                0.86188,                0.73988,                0.32818,                0.85473,              0.0090332,              0.0090332,              0.0090332
                     27,                0.72011,                0.37243,                0.87409,                0.99588,                0.99589,                0.99445,                 0.8937,                0.61669,                0.28892,                0.83632,              0.0089945,              0.0089945,              0.0089945
                     28,                0.72106,                0.36763,                0.87377,                0.99262,                0.99269,                0.99415,                0.86353,                 0.7166,                0.30581,                0.85305,              0.0089559,              0.0089559,              0.0089559
                     29,                0.71509,                0.36618,                0.87367,                0.99418,                0.99547,                 0.9946,                0.87718,                0.67666,                0.29888,                0.84542,              0.0089172,              0.0089172,              0.0089172
                     30,                0.71293,                0.36391,                0.87205,                 0.9948,                0.99452,                0.99451,                0.87919,                0.68802,                0.30044,                0.84655,              0.0088785,              0.0088785,              0.0088785
                     31,                0.71296,                0.36672,                0.87138,                0.99353,                0.99513,                 0.9947,                0.87486,                 0.6697,                 0.3058,                0.84563,              0.0088398,              0.0088398,              0.0088398
