                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7417,                 3.3166,                 1.2768,                0.85071,                0.15346,                0.50815,                0.37288,                 1.1957,                 2.6218,                0.99848,              0.0032624,              0.0032624,              0.0032624
                      2,                 1.1711,                 1.0651,                0.97026,                0.95201,                0.80411,                0.94885,                0.70251,                 1.0899,                 1.6749,                0.94913,              0.0065702,              0.0065702,              0.0065702
                      3,                 1.1581,                 0.7868,                0.95998,                0.76004,                0.84901,                0.79582,                0.54643,                 1.3624,                  1.497,                 1.0389,              0.0098523,              0.0098523,              0.0098523
                      4,                 1.1108,                0.72894,                0.95395,                0.87345,                0.88609,                0.90973,                0.68187,                 1.0747,                0.89307,                0.95488,               0.009884,               0.009884,               0.009884
                      5,                 1.0336,                0.66499,                0.93484,                0.82054,                0.88905,                0.84722,                0.64245,                0.99834,                0.85212,                0.92969,              0.0098453,              0.0098453,              0.0098453
                      6,                0.98849,                0.62917,                0.92773,                0.96092,                0.96202,                0.98675,                0.76927,                0.95326,                0.62835,                0.91045,              0.0098066,              0.0098066,              0.0098066
                      7,                0.95818,                0.59519,                0.92092,                0.95931,                 0.9585,                 0.9784,                0.72471,                 1.0626,                0.61299,                0.93792,               0.009768,               0.009768,               0.009768
                      8,                0.93227,                0.56758,                0.91557,                0.97865,                0.98127,                0.98868,                0.81398,                0.78237,                0.53974,                0.87174,              0.0097293,              0.0097293,              0.0097293
                      9,                 0.9179,                0.55511,                0.90971,                0.97426,                0.96762,                0.98867,                0.78799,                  0.914,                0.52243,                0.89355,              0.0096906,              0.0096906,              0.0096906
                     10,                0.90453,                0.54563,                0.90787,                0.96565,                0.97178,                 0.9883,                0.80456,                0.81625,                0.50866,                0.87619,               0.009652,               0.009652,               0.009652
                     11,                0.88708,                0.52352,                 0.9031,                0.97502,                0.97212,                0.99057,                0.79434,                0.89083,                0.46827,                0.89309,              0.0096133,              0.0096133,              0.0096133
