                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7174,                 2.4095,                 1.3075,                0.84286,                0.86512,                0.92721,                0.67453,                  1.053,                  0.996,                0.96139,              0.0032624,              0.0032624,              0.0032624
                      2,                  1.084,                0.69981,                0.96719,                0.95279,                0.94459,                0.97753,                0.70478,                 1.1354,                0.64927,                0.95298,              0.0065702,              0.0065702,              0.0065702
                      3,                 1.0773,                0.64367,                0.94741,                0.96003,                0.96446,                 0.9865,                0.72061,                 1.0067,                0.87824,                0.93387,              0.0098523,              0.0098523,              0.0098523
                      4,                  1.041,                0.61575,                0.94208,                0.94582,                0.94303,                   0.97,                0.74068,                 1.0181,                0.73225,                0.93552,               0.009884,               0.009884,               0.009884
                      5,                0.98471,                0.55564,                0.92618,                0.95855,                0.97612,                 0.9886,                0.77398,                0.99773,                0.50455,                0.91582,              0.0098453,              0.0098453,              0.0098453
                      6,                0.93537,                0.53091,                 0.9197,                0.98087,                0.98717,                0.99386,                0.82523,                0.82118,                0.46137,                0.87869,              0.0098066,              0.0098066,              0.0098066
                      7,                0.91768,                0.50592,                0.91376,                0.97407,                0.96397,                0.98698,                 0.7765,                 1.0033,                0.49021,                0.92223,               0.009768,               0.009768,               0.009768
                      8,                0.88493,                0.48665,                0.90708,                0.92842,                0.95201,                 0.9723,                 0.8227,                0.78957,                0.56654,                0.87397,              0.0097293,              0.0097293,              0.0097293
                      9,                0.87731,                0.47714,                0.90317,                0.97575,                0.97917,                0.99157,                  0.799,                0.93403,                0.44699,                0.90183,              0.0096906,              0.0096906,              0.0096906
                     10,                 0.8588,                0.47352,                0.89921,                0.98964,                0.98409,                0.99387,                0.85537,                0.74846,                0.38086,                0.86807,               0.009652,               0.009652,               0.009652
                     11,                0.84312,                0.45551,                0.89628,                0.98812,                0.98303,                0.99327,                0.82697,                0.80609,                0.38778,                0.87524,              0.0096133,              0.0096133,              0.0096133
                     12,                0.83241,                0.45359,                0.89483,                0.98175,                0.98546,                0.99254,                 0.8563,                0.71618,                0.37809,                 0.8573,              0.0095746,              0.0095746,              0.0095746
                     13,                 0.8249,                0.44863,                0.89197,                 0.9827,                0.98696,                0.99394,                0.84708,                0.72555,                 0.3761,                0.85954,              0.0095359,              0.0095359,              0.0095359
                     14,                0.82016,                 0.4412,                0.89309,                0.98646,                0.98735,                0.99356,                0.82935,                0.85871,                 0.3784,                0.88253,              0.0094973,              0.0094973,              0.0094973
                     15,                0.80979,                0.43626,                0.88714,                0.98864,                0.98762,                0.99399,                0.85792,                0.73095,                0.36537,                0.85734,              0.0094586,              0.0094586,              0.0094586
                     16,                0.80353,                0.42956,                0.88632,                0.98502,                0.98618,                0.99248,                0.85696,                0.75136,                0.36559,                0.85746,              0.0094199,              0.0094199,              0.0094199
                     17,                0.79485,                0.42525,                0.88594,                0.98576,                0.98912,                0.99362,                0.84057,                0.75859,                0.35962,                0.86441,              0.0093813,              0.0093813,              0.0093813
                     18,                0.78232,                0.41758,                0.88502,                0.99012,                0.99321,                0.99405,                0.85939,                0.72653,                0.33645,                0.85774,              0.0093426,              0.0093426,              0.0093426
                     19,                 0.7754,                0.41712,                  0.883,                0.96538,                0.97471,                0.98979,                0.83623,                0.79688,                0.38583,                0.87245,              0.0093039,              0.0093039,              0.0093039
                     20,                 0.7801,                0.41363,                0.88137,                0.99063,                0.98681,                0.99295,                0.86463,                0.69973,                0.34373,                0.85187,              0.0092652,              0.0092652,              0.0092652
                     21,                0.76733,                0.40764,                 0.8813,                0.99174,                0.99125,                 0.9934,                0.86443,                0.70948,                0.33051,                0.85361,              0.0092266,              0.0092266,              0.0092266
                     22,                0.77083,                0.40757,                0.88181,                0.99273,                0.99314,                0.99463,                0.86822,                0.68144,                 0.3184,                0.84786,              0.0091879,              0.0091879,              0.0091879
                     23,                0.76037,                0.40507,                0.87868,                0.98607,                0.99097,                0.99459,                0.87143,                0.70692,                0.33617,                 0.8489,              0.0091492,              0.0091492,              0.0091492
                     24,                 0.7524,                0.39832,                0.87874,                0.98899,                0.99028,                0.99421,                0.86049,                 0.7267,                0.33616,                 0.8563,              0.0091105,              0.0091105,              0.0091105
                     25,                0.75404,                0.39865,                0.87722,                 0.9928,                0.98854,                0.99457,                0.88653,                0.65007,                0.31286,                0.84224,              0.0090719,              0.0090719,              0.0090719
                     26,                0.74808,                 0.3926,                0.87673,                0.99276,                0.99241,                0.99437,                 0.8651,                0.72769,                0.32645,                0.85444,              0.0090332,              0.0090332,              0.0090332
                     27,                0.74235,                0.39096,                0.87593,                0.99253,                0.99424,                0.99423,                0.87703,                0.66906,                0.31305,                0.84652,              0.0089945,              0.0089945,              0.0089945
                     28,                0.74521,                0.38977,                0.87573,                0.99489,                0.99401,                 0.9948,                 0.8745,                 0.6647,                0.31405,                0.84515,              0.0089559,              0.0089559,              0.0089559
                     29,                0.73966,                0.38616,                 0.8756,                0.99279,                0.99018,                0.99371,                0.87334,                0.67851,                0.32116,                0.84519,              0.0089172,              0.0089172,              0.0089172
                     30,                0.73597,                0.38296,                0.87382,                0.98925,                0.98681,                0.99146,                 0.8737,                  0.694,                0.32696,                  0.849,              0.0088785,              0.0088785,              0.0088785
                     31,                0.73438,                0.38112,                0.87369,                0.99324,                0.99351,                0.99481,                 0.8783,                0.67871,                0.30243,                0.84596,              0.0088398,              0.0088398,              0.0088398
                     32,                0.72559,                0.38176,                0.87359,                0.99416,                0.99108,                0.99457,                0.87945,                 0.6681,                0.31421,                0.84508,              0.0088012,              0.0088012,              0.0088012
                     33,                0.72407,                0.37754,                0.87059,                0.99241,                0.99351,                0.99439,                0.88329,                0.66713,                0.30379,                0.84454,              0.0087625,              0.0087625,              0.0087625
                     34,                 0.7244,                0.37628,                0.87254,                0.99304,                0.99169,                0.99429,                0.88315,                0.64642,                0.30307,                0.83948,              0.0087238,              0.0087238,              0.0087238
                     35,                0.71925,                0.37574,                0.87247,                 0.9955,                 0.9956,                0.99438,                0.88842,                0.63861,                0.29315,                0.83941,              0.0086852,              0.0086852,              0.0086852
                     36,                0.71784,                0.37234,                0.87084,                0.99437,                0.99733,                0.99472,                0.87832,                0.66686,                0.29632,                0.84324,              0.0086465,              0.0086465,              0.0086465
                     37,                0.71658,                0.37175,                0.87176,                0.99409,                0.99447,                0.99444,                 0.8787,                0.68372,                0.29971,                0.84478,              0.0086078,              0.0086078,              0.0086078
                     38,                0.71418,                0.37058,                 0.8719,                0.99314,                0.99261,                0.99407,                 0.8898,                 0.6199,                0.29995,                0.83461,              0.0085691,              0.0085691,              0.0085691
                     39,                0.71124,                0.36881,                0.86982,                0.99646,                0.99582,                0.99479,                0.88634,                0.63954,                  0.287,                0.83716,              0.0085305,              0.0085305,              0.0085305
                     40,                0.70529,                0.36455,                 0.8688,                0.99572,                 0.9959,                0.99443,                0.90099,                0.58493,                0.28268,                 0.8317,              0.0084918,              0.0084918,              0.0084918
                     41,                0.71069,                0.36813,                0.87022,                0.99183,                0.98901,                0.99412,                0.88227,                  0.642,                0.30467,                0.83958,              0.0084531,              0.0084531,              0.0084531
                     42,                0.70574,                0.36978,                0.86868,                0.99395,                0.99482,                0.99449,                0.88336,                0.65201,                0.30309,                0.84108,              0.0084145,              0.0084145,              0.0084145
                     43,                0.70027,                0.36149,                0.86981,                0.99585,                 0.9955,                0.99403,                0.86982,                0.70544,                0.29767,                0.85038,              0.0083758,              0.0083758,              0.0083758
                     44,                0.70173,                0.36217,                0.86762,                0.99496,                 0.9969,                0.99465,                0.89151,                0.62917,                0.28494,                0.83659,              0.0083371,              0.0083371,              0.0083371
                     45,                0.70033,                0.36331,                0.87063,                0.99364,                0.99568,                0.99473,                 0.8867,                0.61393,                0.28673,                0.83633,              0.0082984,              0.0082984,              0.0082984
                     46,                0.69693,                0.36226,                0.86497,                0.99372,                0.99255,                0.99375,                0.88415,                0.65269,                0.30158,                 0.8409,              0.0082598,              0.0082598,              0.0082598
                     47,                0.69603,                0.35682,                0.86719,                0.99638,                0.99594,                0.99479,                0.88268,                0.65217,                0.28551,                0.84197,              0.0082211,              0.0082211,              0.0082211
                     48,                0.69709,                0.35894,                0.86701,                 0.9959,                 0.9953,                0.99456,                0.89197,                0.63703,                0.28507,                0.83866,              0.0081824,              0.0081824,              0.0081824
                     49,                0.69067,                0.35539,                 0.8659,                0.99723,                0.99608,                 0.9944,                0.88734,                0.63449,                0.28108,                0.83555,              0.0081437,              0.0081437,              0.0081437
                     50,                0.68704,                0.35442,                0.86625,                0.99475,                0.99543,                0.99453,                0.89052,                0.62948,                0.28313,                 0.8371,              0.0081051,              0.0081051,              0.0081051
                     51,                0.68438,                0.35471,                0.86331,                0.99484,                0.99434,                0.99428,                0.89056,                0.62508,                0.28151,                 0.8348,              0.0080664,              0.0080664,              0.0080664
                     52,                0.68413,                0.35298,                 0.8654,                0.99682,                0.99678,                0.99478,                0.88822,                0.65087,                0.27997,                0.83877,              0.0080277,              0.0080277,              0.0080277
                     53,                0.68224,                0.35214,                0.86357,                0.99648,                0.99675,                0.99471,                0.88695,                0.65032,                0.28096,                0.83965,              0.0079891,              0.0079891,              0.0079891
                     54,                0.67989,                  0.349,                0.86592,                0.99477,                0.99507,                 0.9941,                0.89342,                0.61911,                0.27877,                0.83382,              0.0079504,              0.0079504,              0.0079504
                     55,                0.68459,                0.35147,                0.86418,                0.99672,                0.99661,                0.99487,                0.89976,                 0.6124,                0.27635,                0.83337,              0.0079117,              0.0079117,              0.0079117
                     56,                0.67878,                0.34795,                0.86359,                0.99296,                0.99529,                0.99443,                 0.8865,                0.63357,                0.28505,                0.83673,               0.007873,               0.007873,               0.007873
                     57,                0.67875,                0.34728,                0.86478,                0.99579,                0.99745,                0.99469,                0.88984,                0.63245,                0.27312,                0.83617,              0.0078344,              0.0078344,              0.0078344
                     58,                0.67238,                0.34552,                0.86167,                0.99316,                0.99392,                0.99474,                0.90114,                0.61027,                0.27983,                0.83469,              0.0077957,              0.0077957,              0.0077957
                     59,                0.67449,                0.34484,                0.86412,                 0.9953,                0.99671,                0.99493,                0.89771,                0.61157,                0.27264,                0.83273,               0.007757,               0.007757,               0.007757
