                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6774,                 2.3255,                 1.2925,                0.85991,                0.91659,                0.94319,                0.66695,                 1.1068,                0.67968,                0.95795,              0.0032624,              0.0032624,              0.0032624
                      2,                 1.0369,                0.59673,                 0.9475,                0.94177,                0.95508,                 0.9783,                0.76421,                0.94096,                0.59666,                0.91244,              0.0065702,              0.0065702,              0.0065702
                      3,                 1.0463,                0.59657,                0.94521,                0.92642,                0.94965,                0.97523,                0.73672,                 1.0426,                0.77109,                0.94734,              0.0098523,              0.0098523,              0.0098523
                      4,                 1.0209,                0.57965,                0.94687,                0.93636,                0.93737,                0.97563,                0.70187,                 1.1829,                0.66005,                0.99016,               0.009884,               0.009884,               0.009884
                      5,                0.95919,                0.52156,                0.92785,                 0.9144,                0.93286,                0.98044,                0.74622,                 1.0731,                0.69091,                0.94915,              0.0098453,              0.0098453,              0.0098453
                      6,                0.91927,                0.49543,                0.92253,                0.98359,                0.98509,                0.99275,                0.79938,                0.90865,                0.47746,                 0.8978,              0.0098066,              0.0098066,              0.0098066
                      7,                0.88471,                0.47752,                0.91466,                0.96277,                0.97278,                0.98937,                0.78953,                0.91293,                0.43928,                0.89806,               0.009768,               0.009768,               0.009768
                      8,                0.85674,                0.45561,                0.90838,                0.97256,                0.97472,                0.98884,                0.82267,                0.82717,                0.42554,                 0.8788,              0.0097293,              0.0097293,              0.0097293
                      9,                0.84669,                0.45021,                0.90294,                 0.9787,                0.98496,                0.99249,                0.82261,                0.86056,                0.39803,                0.88674,              0.0096906,              0.0096906,              0.0096906
                     10,                0.82825,                0.43878,                0.89956,                0.98748,                 0.9856,                 0.9936,                0.84546,                0.76507,                0.36179,                0.86544,               0.009652,               0.009652,               0.009652
                     11,                0.81194,                0.42611,                0.89484,                0.98439,                0.98339,                0.99052,                0.83556,                0.76993,                0.37258,                0.86661,              0.0096133,              0.0096133,              0.0096133
                     12,                0.79921,                0.42096,                0.89545,                0.99299,                0.99256,                0.99426,                0.86588,                0.69027,                0.32938,                0.85288,              0.0095746,              0.0095746,              0.0095746
                     13,                0.78881,                 0.4116,                0.89044,                0.99134,                0.98785,                0.99371,                 0.8555,                0.73506,                0.33973,                0.85994,              0.0095359,              0.0095359,              0.0095359
                     14,                 0.7817,                0.40524,                0.89136,                0.98759,                0.99086,                 0.9939,                0.85723,                0.74637,                0.34244,                0.86142,              0.0094973,              0.0094973,              0.0094973
                     15,                0.77272,                0.39988,                0.88656,                0.98268,                0.98838,                0.99283,                0.86525,                 0.7044,                0.33616,                0.85273,              0.0094586,              0.0094586,              0.0094586
                     16,                 0.7677,                0.39367,                0.88612,                0.99377,                  0.994,                0.99445,                0.86336,                0.75342,                0.32629,                0.85947,              0.0094199,              0.0094199,              0.0094199
                     17,                0.75587,                0.39202,                0.88568,                0.99099,                0.99373,                0.99429,                0.86038,                0.68641,                0.32421,                0.84918,              0.0093813,              0.0093813,              0.0093813
                     18,                0.74856,                0.38107,                0.88467,                0.99099,                0.98988,                0.99439,                0.84582,                0.77538,                0.33457,                0.86719,              0.0093426,              0.0093426,              0.0093426
                     19,                0.74058,                0.38081,                0.88286,                0.98926,                 0.9906,                 0.9943,                0.87181,                0.69389,                0.33095,                0.84946,              0.0093039,              0.0093039,              0.0093039
                     20,                0.73861,                0.38273,                 0.8792,                0.99283,                0.99161,                0.99391,                0.86197,                0.69807,                0.31114,                0.84968,              0.0092652,              0.0092652,              0.0092652
                     21,                0.73146,                0.37244,                0.88011,                 0.9915,                0.98886,                0.99332,                 0.8589,                0.73765,                0.33765,                0.85388,              0.0092266,              0.0092266,              0.0092266
                     22,                0.72838,                0.36853,                0.88049,                0.99255,                0.99321,                0.99454,                0.86936,                0.71628,                0.30776,                0.85278,              0.0091879,              0.0091879,              0.0091879
                     23,                0.72229,                0.36962,                0.87789,                0.99125,                0.99399,                0.99405,                0.87543,                0.66352,                0.30853,                0.84228,              0.0091492,              0.0091492,              0.0091492
                     24,                0.71102,                0.36323,                0.87707,                0.99313,                0.99495,                0.99481,                0.87744,                0.66296,                0.29069,                0.84461,              0.0091105,              0.0091105,              0.0091105
                     25,                 0.7107,                0.36521,                0.87614,                0.98351,                0.98863,                0.99317,                0.87685,                0.65154,                0.30871,                0.84292,              0.0090719,              0.0090719,              0.0090719
                     26,                0.70751,                 0.3566,                0.87557,                0.99674,                0.99645,                0.99473,                0.88524,                0.65598,                0.28891,                 0.8398,              0.0090332,              0.0090332,              0.0090332
                     27,                0.69871,                0.35567,                0.87461,                0.99274,                0.99442,                0.99421,                0.86993,                0.68661,                0.30475,                0.84673,              0.0089945,              0.0089945,              0.0089945
                     28,                 0.7011,                0.34858,                0.87407,                0.99388,                0.99434,                0.99353,                0.88499,                0.63935,                0.30003,                0.83791,              0.0089559,              0.0089559,              0.0089559
                     29,                0.69369,                 0.3508,                0.87354,                0.99105,                0.99517,                0.99443,                 0.8926,                0.61425,                0.28233,                0.83415,              0.0089172,              0.0089172,              0.0089172
                     30,                0.69219,                0.34779,                0.87188,                0.99572,                0.99527,                 0.9946,                0.87438,                0.68493,                0.29341,                0.84717,              0.0088785,              0.0088785,              0.0088785
                     31,                0.68938,                0.34849,                0.87209,                0.98905,                0.99367,                0.99454,                0.86561,                0.72203,                0.30513,                 0.8514,              0.0088398,              0.0088398,              0.0088398
                     32,                0.68093,                0.34404,                0.87184,                0.99558,                0.99685,                 0.9949,                0.88921,                0.63486,                0.27872,                0.83804,              0.0088012,              0.0088012,              0.0088012
                     33,                0.67724,                0.34046,                0.86849,                0.99544,                0.99678,                 0.9948,                  0.889,                0.64826,                0.28462,                0.83952,              0.0087625,              0.0087625,              0.0087625
                     34,                0.67581,                0.33907,                0.86981,                0.99578,                0.99664,                0.99465,                0.89936,                0.59554,                0.26811,                0.83102,              0.0087238,              0.0087238,              0.0087238
                     35,                0.67269,                0.33609,                0.87014,                0.99674,                0.99712,                0.99494,                0.89007,                0.62812,                0.26938,                  0.841,              0.0086852,              0.0086852,              0.0086852
                     36,                0.67005,                0.33538,                0.86874,                0.99564,                0.99729,                0.99476,                0.89571,                0.61146,                0.26627,                0.83323,              0.0086465,              0.0086465,              0.0086465
                     37,                0.66816,                0.33682,                0.87066,                0.99753,                0.99759,                0.99489,                0.89048,                0.63672,                 0.2733,                0.83488,              0.0086078,              0.0086078,              0.0086078
                     38,                0.66533,                0.33248,                 0.8694,                0.99421,                0.99392,                0.99464,                0.88953,                0.65319,                0.27998,                0.84037,              0.0085691,              0.0085691,              0.0085691
                     39,                0.66646,                0.33445,                0.86858,                 0.9952,                0.99557,                0.99419,                 0.8911,                0.64218,                0.27632,                0.83899,              0.0085305,              0.0085305,              0.0085305
                     40,                0.65978,                 0.3278,                0.86624,                0.99768,                0.99756,                0.99477,                0.90164,                 0.5952,                0.26853,                0.83199,              0.0084918,              0.0084918,              0.0084918
                     41,                0.66107,                0.33135,                0.86729,                0.99287,                0.99273,                0.99478,                0.88597,                0.63668,                0.28037,                 0.8377,              0.0084531,              0.0084531,              0.0084531
                     42,                0.65987,                0.32968,                0.86686,                0.99331,                0.99599,                0.99451,                0.89389,                0.60918,                0.26819,                0.83297,              0.0084145,              0.0084145,              0.0084145
                     43,                0.65152,                 0.3267,                0.86672,                0.99474,                0.99424,                0.99469,                0.87647,                0.65861,                0.28433,                 0.8446,              0.0083758,              0.0083758,              0.0083758
                     44,                0.65402,                0.32513,                0.86561,                0.99733,                0.99632,                0.99455,                0.90581,                0.58661,                0.25964,                0.82939,              0.0083371,              0.0083371,              0.0083371
                     45,                0.65202,                0.32708,                0.86963,                0.99598,                 0.9966,                0.99449,                0.90901,                 0.5722,                0.25508,                0.82615,              0.0082984,              0.0082984,              0.0082984
                     46,                0.64462,                0.32439,                0.86415,                0.99675,                0.99722,                0.99472,                0.90249,                 0.5922,                0.26275,                0.82864,              0.0082598,              0.0082598,              0.0082598
                     47,                0.64508,                0.31959,                0.86525,                0.99819,                0.99659,                 0.9949,                0.89403,                0.61826,                 0.2623,                0.83386,              0.0082211,              0.0082211,              0.0082211
                     48,                0.64821,                0.32095,                0.86548,                0.99565,                0.99619,                0.99487,                0.88814,                0.63867,                0.26745,                0.83713,              0.0081824,              0.0081824,              0.0081824
                     49,                0.64413,                0.31929,                0.86412,                 0.9965,                0.99597,                0.99474,                0.90044,                0.60469,                0.25896,                0.83319,              0.0081437,              0.0081437,              0.0081437
